id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
4821240,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:33.003443+00,45574,1,t,12616,-332992074,1111111011111111
4821260,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:43.05763+00,45573,1,t,12617,-332982020,1111111111111111
4821274,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:52:50.701752+00,45600,1,t,3927,-1626282025,1111111111111111
4821310,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:53:16.602193+00,45572,0,t,12618,-332948475,1111111101111111
4821311,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:53:20.949587+00,45571,0,t,12619,-332944128,1111111100111111
4821313,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:53:21.993708+00,45572,1,t,12620,-332943084,1111111110111111
4821342,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:53:32.237812+00,45571,1,t,12621,-332932840,1111111111111111
4821387,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:53:56.438558+00,45600,0,t,3928,-1626216289,1111111111101111
4821441,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:16.066217+00,45600,1,t,3929,-1626196661,1111111111111111
4821442,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:17.490642+00,11-0,0,t,3930,-1626195236,1111111111111110
4821458,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:43.564279+00,45568,0,t,12622,-332861513,1111111111110111
4821463,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:47.925701+00,45567,0,t,12623,-332857152,1111111111110011
4821467,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:54.356516+00,45568,1,t,12624,-332850722,1111111111111011
4821471,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:54:58.920787+00,45567,1,t,12625,-332846157,1111111111111111
4821481,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:06.107308+00,11-0,1,t,3931,-1626146620,1111111111111111
4821487,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:29.799671+00,45570,0,t,12626,-332815278,1111111111011111
4821493,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:34.136092+00,45569,0,t,12627,-332810942,1111111111001111
4821495,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:40.601529+00,45570,1,t,12628,-332804476,1111111111101111
4821504,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:45.160072+00,45569,1,t,12629,-332799918,1111111111111111
4821512,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:55:55.830135+00,45600,0,t,3932,-1626096897,1111111111101111
4821517,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:56:35.762961+00,45600,1,t,3933,-1626056964,1111111111111111
4821525,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:57:00.81793+00,45574,0,t,12630,-332724260,1111110111111111
4821526,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:57:05.172278+00,45573,0,t,12631,-332719906,1111110011111111
4821533,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:57:06.368474+00,45574,1,t,12632,-332718710,1111111011111111
4821538,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:57:16.087214+00,45573,1,t,12633,-332708991,1111111111111111
4821555,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:58:03.137613+00,45600,0,t,3934,-1625969590,1111111111101111
4821572,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:58:22.244807+00,45600,1,t,3935,-1625950483,1111111111111111
4821590,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:58:49.800086+00,45568,0,t,12634,-332615278,1111111111110111
4821593,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:58:54.185701+00,45567,0,t,12635,-332610893,1111111111110011
4821594,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:58:55.261716+00,45568,1,t,12636,-332609817,1111111111111011
4821606,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 01:59:05.105542+00,45567,1,t,12637,-332599973,1111111111111111
4824049,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:34:27.547851+00,45575,0,t,12638,-330477536,1111101111111111
4824050,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:34:31.940275+00,45576,0,t,12639,-330473143,1111001111111111
4824051,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:34:32.852247+00,45575,1,t,12640,-330472231,1111011111111111
4824052,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:34:37.248616+00,45576,1,t,12641,-330467835,1111111111111111
4824084,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:35:06.106661+00,45599,0,t,3936,-1623746624,1111111111110111
4824086,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 02:35:16.349949+00,45599,1,t,3937,-1623736381,1111111111111111
4829913,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 03:56:09.9266+00,45598,0,t,3938,-1618882811,1111111111111011
4829930,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 03:56:44.860147+00,45572,0,t,12642,-325540235,1111111101111111
4829950,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 03:56:49.201372+00,45571,0,t,12643,-325535894,1111111100111111
4829975,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 03:56:50.35961+00,45572,1,t,12644,-325534736,1111111110111111
4829982,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 03:57:00.714135+00,45571,1,t,12645,-325524381,1111111111111111
4831490,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:36:19.043209+00,45598,1,t,3940,-1616473698,1111111111101111
4831491,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:36:19.043209+00,45600,0,t,3940,-1616473698,1111111111101111
4831526,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:36:50.868217+00,11-0,0,t,3941,-1616441873,1111111111101110
4831534,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:36:58.106494+00,45600,1,t,3942,-1616434635,1111111111111110
4831544,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:37:24.832152+00,45570,0,t,12646,-323100269,1111111111011111
4831547,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:37:29.165481+00,45569,0,t,12647,-323095936,1111111111001111
