,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
1008,4814619,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:01.537913+00,45570,0,t,12506,-338183528,1111111111011111
1009,4814633,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:06.987345+00,45569,0,t,12508,-338178078,1111111111101111
1010,4814634,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:06.987345+00,45570,1,t,12508,-338178078,1111111111101111
1011,4814638,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:05.909319+00,45570,0,t,12507,-338179156,1111111111001111
1012,4814659,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:16.83318+00,45569,1,t,12509,-338168232,1111111111111111
1013,4814660,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:26:16.83318+00,45570,1,t,12509,-338168232,1111111111111111
1014,4814767,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:27:26.230193+00,45598,0,t,3876,-1631406490,1111111111111011
1015,4814769,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:27:45.404445+00,45598,1,t,3877,-1631387316,1111111111111111
1016,4814785,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:28:11.431051+00,45568,0,t,12510,-338053635,1111111111110111
1017,4814805,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:28:15.789262+00,45567,0,t,12511,-338049276,1111111111110011
1018,4814806,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:28:22.260796+00,45568,1,t,12512,-338042805,1111111111111011
1019,4814807,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:28:26.800504+00,45567,1,t,12513,-338038265,1111111111111111
1020,4815077,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:31:28.006122+00,45567,0,t,12514,-337857060,1111111111111011
1021,4815079,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:31:32.367461+00,45568,0,t,12515,-337852699,1111111111110011
1022,4815080,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:31:33.860725+00,45567,1,t,12516,-337851757,1111111111110111
1023,4815089,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:31:37.650755+00,45568,1,t,12517,-337847415,1111111111111111
1024,4815090,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:31:38.566862+00,11-0,0,t,3878,-1631154153,1111111111111110
1025,4815147,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:11.378704+00,45601,0,t,3879,-1631121342,1111111111011110
1026,4815230,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:21.674868+00,45601,1,t,3880,-1631111045,1111111111111110
1027,4815233,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:24.848347+00,11-0,1,t,3881,-1631107872,1111111111111111
1028,4815285,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:46.955247+00,45574,0,t,12518,-337778111,1111110111111111
1029,4815289,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:51.30055+00,45573,0,t,12519,-337773766,1111110011111111
1030,4815290,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:32:52.397728+00,45574,1,t,12520,-337772669,1111111011111111
1031,4815313,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:33:02.301694+00,45573,1,t,12521,-337762765,1111111111111111
1032,4815530,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:35:13.15975+00,45598,0,t,3882,-1630939561,1111111111111011
1033,4815632,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:35:30.917578+00,45598,1,t,3883,-1630921803,1111111111111111
1034,4815667,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:35:57.09783+00,45568,0,t,12522,-337587969,1111111111110111
1035,4815668,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:01.508198+00,45567,0,t,12523,-337583559,1111111111110011
1036,4815669,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:02.744479+00,45568,1,t,12524,-337582322,1111111111111011
1037,4815670,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:02.817627+00,45568,0,t,12525,-337582249,1111111111110011
1038,4815674,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:06.621535+00,45573,0,t,12526,-337578445,1111111011110011
1039,4815684,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:07.687466+00,45568,1,t,12527,-337577379,1111111011111011
1040,4815685,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:10.938718+00,45574,0,t,12528,-337574128,1111110011111011
1041,4815686,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:11.90668+00,45573,1,t,12529,-337573160,1111110111111011
1042,4815688,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:12.348201+00,45567,1,t,12530,-337572719,1111110111111111
1043,4815699,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:16.254146+00,45574,1,t,12531,-337568813,1111111111111111
1044,4815722,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:47.19993+00,45601,0,t,3884,-1630845521,1111111111011111
1045,4815723,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:36:57.583313+00,45601,1,t,3885,-1630835137,1111111111111111
